Parameters,Healing efficiency (y),Time (x1),Relaxation time (x2),Fractional weak dynamic bonds (x3),Free volume (x4),Glassy-transition temperature (x5),Young's modulus (x6),,,,,
0,99.8,7,9.6,43.6,33.1,-62,1.5,,,,,
1,97.6,16,10,35.1,23.2,-48,3.2,,,,,
2,85.9,24,15,43.6,25.7,-123,0.8,,,,,
3,82.3,32,26,32.6,25.8,-35,1.2,,,,,
4,76.5,48,36.6,29.6,32.3,-29,5.7,,,,,
5,53.2,72,69.4,16.6,21.6,-18,13,,,,,
6,49.5,96,84,16,15.8,-54,4,,,,,
7,67,24,3,2.1,3.7,-75,2.5,,,,,
8,84.6,24,10,1.9,1.5,-45,6.5,,,,,
9,97.9,24,30,3.9,3.5,-15,21,,,,,
10,89,24,39,22,19,-28.5,6.1,,,,,
11,75,12,47,18,20.1,25,2009,,,,,
12,79,96,56.1,15.5,15.2,30,2473,,,,,
13,79,48,45,23,18.3,-30,6.2,,,,,
14,79,96,56.1,15.5,16.1,70,3125,,,,,
15,58,72,56.1,15.5,15.2,-80,0.1,,,,,
16,41,48,56.1,15.5,16.2,-73,0.8,,,,,
17,26,24,56.1,15.5,18.3,-53,1.8,,,,,
18,99.8,6,20,32.9,28.1,-56,1.6,,,,,
19,99.8,1,10,27.4,32.8,2,7,,,,,
20,94.6,8,12.8,35.8,33.6,6,29,,,,,
21,87.5,8,25.1,27.3,25.1,-42,2.8,,,,,
22,32.7,4,23.5,45.8,39.2,-34,0.51,,,,,
23,40,8,23.5,45.8,39.2,20,1000,,,,,
24,47.2,12,23.5,45.8,39.2,15,1263,,,,,
25,58.1,24,23.5,45.8,39.2,34,1200,,,,,
26,94.5,48,23.5,45.8,39.2,69,1800,,,,,
27,94.5,48,23.5,45.8,39.2,40,1563,,,,,
28,82.4,48,48.3,15.9,10.6,-22,7.3,,,,,
29,86.1,48,35.3,25.8,19.3,47,1568,,,,,
30,28.7,48,28.6,34.1,29.5,75,1873,,,,,
31,54.3,72,30.3,30.5,28.3,73,1752,,,,,
32,69.9,168,32.5,25.6,19.1,60,1639,,,,,
33,26.5,48,25.3,36.5,29.7,54,1593,,,,,
34,42.9,72,29.2,33.8,32.5,-26,6.5,,,,,
35,50.2,168,25.8,24.3,19.3,-53,1.8,,,,,
36,26.1,48,19.5,34.5,30.7,-63,1.46,,,,,
37,39.1,72,26.3,29.6,23.5,6,29,,,,,
38,56.5,168,36.2,25.1,22.9,15,1263,,,,,
39,56.8,48,23.1,32.6,28.4,36,1365,,,,,
40,59,72,26.7,29.3,25.1,41,1498,,,,,
41,68.2,168,34.3,21.4,16.3,84,1984,,,,,
42,34.8,48,17.6,33.2,30.5,54,1593,,,,,
43,60.9,72,25.1,25.9,20.6,31,1036,,,,,
44,77.4,168,42.6,20.9,17.2,-32,4.9,,,,,
45,28.1,48,19.2,45.6,41.9,-28,5.7,,,,,
46,37.5,72,23.5,38.4,33.6,-34,0.51,,,,,
47,40.6,168,39.1,19.3,13.7,-26,3.1,,,,,
48,23.2,12,32.4,22.6,17.3,-17,6.8,,,,,
49,36.5,24,28.9,22.8,16.8,-24,5.4,,,,,
50,59.6,28,26.1,24.5,20.1,13,1431,,,,,
51,74.1,32,25.3,28.1,22.5,58,1671,,,,,
52,85.9,48,16.3,32.8,29.4,45,1525,,,,,
53,23.2,12,32.4,22.6,18.3,21,1318,,,,,
54,24.7,24,32.4,22.6,18.3,19,1352,,,,,
55,29.5,36,32.4,22.6,18.3,13,1104,,,,,
56,35.8,48,32.4,22.6,18.3,20,1269,,,,,
57,55.7,72,32.4,22.6,18.3,23,1052,,,,,
58,85.9,48,16.3,32.8,27.4,37,1354,,,,,
59,88.3,56,16.3,32.8,27.4,-29,5.2,,,,,
60,90.7,72,16.3,32.8,27.4,31,1036,,,,,
61,94.8,84,16.3,32.8,27.4,-36,0.34,,,,,
62,99.1,96,16.3,32.8,27.4,-21,8.3,,,,,
63,65,10,35.3,17.6,15.2,14,1197,,,,,
64,85,20,25.6,31.4,28.1,,,,,,,
65,94.3,40,24.6,35.3,30.4,,,,,,,
